0.0	(21.87515516024176+9.618793961725924e-17j)	1.3376640719269866
0.1	(19.049450614562414-8.53937472003477e-17j)	3.0291897722864185
0.2	(7.788893027402165+1.3797298304687172e-16j)	4.170583110697936
0.3	(7.601040609839839+4.6402465773824593e-17j)	6.729718640893091
0.4	(4.135974148139289+1.9636767064424766e-16j)	4.8198830614837584
0.5	(2.432471498723733+2.1508102022962395e-16j)	3.435217967793003
0.6	(2.4526646000577834-1.171171894895074e-16j)	2.7016771294634236
0.7	(0.9341617656357866+2.464817400586052e-16j)	1.7369931214673502
0.8	(0.5298743698539825+1.342058883896688e-16j)	1.0169160202241263
0.9	(0.04854186014739641+9.988016915873301e-17j)	0.14026210062009614
1.0	(5.772574559874506e-14+1.0585466072260758e-16j)	8.962555815316822e-14
